ResNet18
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, training loss: 0.6844819115701123
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, training accuracy: 0.6043859649122807
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Validation Loss: 0.6574982247418828
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Validation accuracy: 0.6464912280701754
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Test Loss: 0.6424227505922318
AdamW, lr=0.001, weight_decay=1e-05: Epoch 1, Test accuracy: 0.6517543859649123
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, training loss: 0.6446754653877187
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, training accuracy: 0.6488304093567251
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Validation Loss: 0.6485176425841119
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Validation accuracy: 0.6342105263157894
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Test Loss: 0.6381255810459455
AdamW, lr=0.001, weight_decay=1e-05: Epoch 2, Test accuracy: 0.6403508771929824
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, training loss: 0.6372294980231846
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, training accuracy: 0.6502923976608187
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Validation Loss: 0.6252342152098814
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Validation accuracy: 0.6570175438596492
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Test Loss: 0.6272979813317457
AdamW, lr=0.001, weight_decay=1e-05: Epoch 3, Test accuracy: 0.6570175438596492
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, training loss: 0.6585739424852567
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, training accuracy: 0.610233918128655
AdamW, lr=0.001, weight_decay=1e-05: Epoch 4, Validation Loss: 0.7128016050491068
